Objektbez,Jahr,namident,sprcode,Geschlecht,gebjahr,todjahr,ausstellungen,events,performances,literatur,rating,NATIONALITAET
Zeichnung,1907,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1912,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1901,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1914,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1913,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Zeichnung,1907,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
,1899,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Zeichnung,1907,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Zeichnung,1904,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Zeichnung,1917,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1879,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1913,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1913,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Aquarell,1887,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Aquarell,,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1899,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1895,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1913,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Zeichnung,1907,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1917,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1909,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1914,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1890,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1907,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Aquarell,1887,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Zeichnung,1908,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Zeichnung,1908,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Zeichnung,1913,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1915,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1895,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1909,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1912,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1911,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1913,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1914,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1914,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1906,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1895,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1917,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1914,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Zeichnung,1893,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1912,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1893,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Zeichnung,1895,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1907,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1916,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1914,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1907,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1907,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1912,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1872,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1893,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1908,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1893,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1896,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Zeichnung,1888,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1909,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1909,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1918,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1913,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1871,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1871,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1890,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1877,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Zeichnung,1875,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1881,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1914,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1912,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1915,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1880,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1898,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1885,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1890,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1895,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1894,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1907,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1899,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1898,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1908,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1907,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1916,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1890,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1909,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1914,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Zeichnung,1896,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1890,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1916,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1912,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1882,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1871,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1910,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1912,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1887,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1917,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Mischtechnik,1915,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1879,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1906,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1904,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1913,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1912,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1891,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1894,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1904,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1917,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1912,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1904,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Mischtechnik,1903,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1871,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1911,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1887,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1917,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1878,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1914,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1912,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1916,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1912,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1911,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1912,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1913,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1907,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1910,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1910,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1908,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
,1890,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1913,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1912,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1913,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1906,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1912,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1916,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Zeichnung,1912,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Bleistiftzeichnung,1915,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1894,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1914,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1910,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1875,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Zeichnung,1891,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1879,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1890,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1909,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1882,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1887,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1906,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1878,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1885,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1906,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1895,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1878,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1915,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1915,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1904,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1888,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1904,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Mischtechnik,1917,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1887,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
,1891,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1887,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1915,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1885,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1871,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1908,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1909,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1911,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1906,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1875,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1907,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1913,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1891,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1913,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1884,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1885,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1909,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1888,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1898,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1886,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1877,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1878,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1912,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1915,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1916,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
,1914,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1918,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
,1911,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1888,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1897,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1891,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1917,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1917,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1881,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1911,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1911,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1881,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1917,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Mischtechnik,1917,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1914,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1906,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
,1913,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1894,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1894,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1910,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1911,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1888,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1891,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1915,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1875,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1913,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1914,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1895,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1879,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1902,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1913,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1885,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1876,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1883,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1914,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1878,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Mischtechnik,1917,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1909,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1890,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1915,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1901,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Zeichnung,1884,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1880,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1911,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1895,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1873,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1870,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1870,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Aquarell,,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1908,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1909,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1916,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1915,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1917,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Mischtechnik,1897,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1871,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1871,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1870,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1912,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1872,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1899,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
,,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1913,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1904,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1898,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1887,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1915,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1894,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1893,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1916,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1912,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1887,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1912,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
Ölmalerei,1910,"Hodler, Ferdinand",DEU,M,1853,1918,1380,0,0,2963,*****,CH
